#NAME	CHROM	STRAND	TX_START	TX_END	EXON_START	EXON_END
OR4F5	1	+	69090	70008	69090,	70008,
GAA	17	+	78075392	78093676	78075392,78075609,78078353,78079547,78081355,78081598,78082088,78082287,78082495,78083743,78084525,78084739,78085781,78086376,78086674,78087016,78090766,78091398,78091991,78092451,78093070,	78075424,78075689,78078931,78079693,78081521,78081695,78082208,78082406,78082627,78083854,78084639,78084824,78085899,78086510,78086826,78087165,78090908,78091548,78092156,78092604,78093676,
EIF4A3	17	-	78109012	78120982	78109012,78109802,78110026,78111184,78111940,78112819,78113468,78113806,78115117,78115580,78117970,78120591,	78109305,78109930,78110134,78111300,78112079,78112961,78113549,78113939,78115180,78115647,78118043,78120982,
CARD14	17	+	78143810	78183130	78143810,78146704,78152306,78155217,78156451,78157711,78162175,78163551,78164572,78165121,78166301,78168989,78169356,78171897,78172197,78175542,78175978,78177620,78178025,78178833,78179329,78180768,78181936,	78143855,78147027,78152454,78155448,78156589,78158037,78162343,78163671,78164698,78165271,78166418,78169132,78169451,78171961,78172390,78175669,78176219,78177684,78178140,78179004,78179451,78180884,78183130,
SGSH	17	-	78183062	78194199	78183062,78185869,78187602,78187970,78188413,78188831,78190830,78194024,	78184810,78186073,78187684,78188127,78188564,78188937,78190991,78194199,
SLC26A11	17	+	78194228	78227299	78194228,78194714,78195346,78196453,78197050,78199635,78201616,78210726,78211320,78215569,78218994,78219952,78220307,78221928,78222373,78222952,78225127,78226423,	78194295,78194914,78195593,78196646,78197136,78199715,78201759,78210902,78211393,78215620,78219055,78220008,78220448,78222056,78222473,78223086,78225200,78227299,
RNF213	17	+	78234666	78372586	78234666,78237372,78247039,78261613,78262431,78263457,78264368,78265426,78268518,78269356,78272120,78280051,78280927,78282817,78286811,78290987,78292989,78298829,78301615,78302127,78305805,78307904,78309960,78311385,78311632,78313000,78316931,78317656,78318477,78323569,78324100,78325484,78326739,78327311,78327818,78328240,78332087,78333860,78335533,78336901,78337408,78338232,78341547,78341760,78343301,78343567,78345673,78346320,78346774,78348257,78349559,78350100,78350681,78351561,78353419,78354630,78355346,78356778,78357476,78358838,78359337,78360049,78360489,78362411,78362972,78363627,78363811,78367144,	78234701,78237577,78247203,78262162,78262554,78263636,78264527,78265626,78268802,78269613,78272318,78280268,78281001,78282971,78286967,78291077,78293112,78298998,78301789,78302277,78306431,78308070,78310178,78311526,78311797,78314156,78317125,78317815,78322086,78323706,78324196,78325603,78326859,78327466,78327966,78328376,78332279,78334006,78335688,78337114,78337590,78338353,78341648,78341943,78343471,78343667,78345785,78346534,78346965,78348389,78349670,78350343,78350763,78351596,78353514,78354787,78355527,78356870,78357728,78358971,78359421,78360230,78360691,78362489,78363167,78363717,78363996,78372586,
ENDOV	17	+	78388966	78411881	78388966,78389449,78395627,78396005,78397319,78398831,78399291,78402395,78403572,78409932,	78389050,78389621,78395762,78396045,78397432,78398900,78399420,78402460,78403631,78411881,
NPTX1	17	-	78440947	78450404	78440947,78445531,78446999,78449310,78449802,	78444834,78445711,78447244,78449518,78450404,
RPTOR	17	+	78519067	78940168	78519067,78599490,78617527,78681640,78704359,78727809,78765249,78796000,78796878,78811721,78820272,78829263,78831589,78854214,78857218,78857580,78858807,78865519,78866528,78867506,78882610,78896523,78897289,78899169,78914295,78919466,78921026,78923242,78931423,78933877,78935193,78936260,78936727,78938061,	78519591,78599593,78617610,78681799,78704506,78727985,78765309,78796101,78797023,78811797,78820374,78829347,78831700,78854289,78857284,78857772,78858948,78865637,78866669,78867665,78882729,78896627,78897473,78899280,78914401,78919581,78921151,78923347,78931530,78934005,78935280,78936377,78936857,78940168,
CHMP6	17	+	78965640	78973933	78965640,78968380,78968818,78969471,78970806,78971060,78972165,78972897,	78965781,78968490,78968906,78969558,78970872,78971141,78972220,78973933,
AC127496.1	17	+	78977134	78978932	78977134,	78978932,
BAIAP2	17	+	79008961	79091232	79008961,79027467,79031680,79058631,79059453,79060242,79073727,79077301,79077706,79078313,79079877,79080544,79082274,79089569,79090029,	79009108,79027543,79031767,79058693,79059525,79060380,79073880,79077523,79077908,79078515,79079946,79080707,79082309,79089617,79091232,
AATK	17	-	79091094	79139817	79091094,79093179,79093735,79094000,79096993,79098526,79098729,79100226,79101382,79101591,79102269,79104860,79108167,79139737,	79092242,79093380,79093883,79096623,79097143,79098648,79098814,79100360,79101470,79101710,79102349,79105005,79108301,79139817,
CEP131	17	-	79163392	79196745	79163392,79163714,79164438,79164706,79164992,79166117,79166275,79167725,79168669,79169634,79170500,79170729,79171511,79171914,79172676,79173180,79173518,79174128,79176039,79177293,79180543,79180924,79182727,79193679,79196568,	79163643,79163775,79164602,79164884,79165135,79166192,79166393,79167927,79168772,79169751,79170626,79170855,79171688,79172097,79172771,79173349,79173635,79174246,79176198,79177407,79180671,79181039,79182822,79193873,79196745,
ENTHD2	17	-	79202076	79212891	79202076,79204343,79205197,79205377,79205646,79207231,79207437,79207780,79210507,79210779,79211186,79212785,	79203276,79204478,79205276,79205491,79205821,79207303,79207516,79207848,79210601,79210871,79211259,79212891,
C17orf89	17	+	79213038	79215081	79213038,79213367,79214786,	79213247,79213478,79215081,
SLC38A10	17	-	79224995	79269067	79224995,79225994,79226872,79234037,79244717,79246315,79249768,79250830,79254408,79255988,79257208,79258649,79263490,79268622,	79225412,79226483,79227040,79234194,79244824,79246427,79249951,79250933,79254533,79256132,79257302,79258695,79263608,79269067,
TMEM105	17	-	79285069	79304474	79285069,79288207,79303943,	79287785,79288281,79304474,
BAHCC1	17	+	79369274	79433357	79369274,79373333,79405395,79408856,79410834,79411406,79411693,79412040,79412379,79413763,79414061,79418693,79418996,79419748,79422292,79423322,79424435,79425190,79425646,79425838,79426079,79426278,79426521,79427302,79427555,79427891,79429765,79430636,	79369435,79373717,79405518,79410590,79410943,79411594,79411852,79412204,79412707,79413856,79414874,79418896,79419133,79419877,79422416,79423611,79424618,79425492,79425751,79425995,79426194,79426354,79426630,79427422,79427732,79429072,79430002,79433357,
ACTG1	17	-	79476996	79479900	79476996,79477952,79478213,79478928,79479257,79479759,	79477859,79478134,79478652,79479168,79479386,79479900,
FSCN2	17	+	79495421	79504156	79495421,79502077,79503171,79503647,79503900,	79496383,79502234,79503293,79503815,79504156,
FAAP100	17	-	79506910	79519403	79506910,79508334,79511029,79512771,79513934,79516231,79517273,79518953,79519191,	79507976,79508421,79511146,79512908,79514704,79516388,79518229,79519078,79519403,
NPLOC4	17	-	79523912	79604172	79523912,79532530,79534442,79536041,79539042,79555969,79563141,79564270,79567366,79571573,79573716,79575753,79577235,79580343,79589191,79596750,79603941,	79526442,79532633,79534559,79536137,79539114,79556130,79563268,79564342,79567453,79571753,79573840,79575848,79577284,79580520,79589304,79596831,79604172,
TSPAN10	17	+	79604223	79615778	79604223,79609332,79612017,79614926,79614936,	79604432,79609474,79612655,79614932,79615778,
PDE6G	17	-	79617488	79623613	79617488,79618674,79620189,79623522,	79618180,79618715,79620394,79623613,
OXLD1	17	-	79632065	79633618	79632065,79633547,	79632614,79633618,
CCDC137	17	+	79633393	79640929	79633393,79634758,79637254,79638773,79639105,79639524,	79633930,79634892,79637483,79638856,79639185,79640929,
ARL16	17	-	79648216	79650793	79648216,79649063,79650042,79650565,79650722,	79648909,79649179,79650156,79650624,79650793,
HGS	17	+	79650961	79669149	79650961,79652634,79653341,79654032,79655733,79657211,79657703,79658476,79660532,79660683,79660899,79661844,79661953,79662193,79662815,79663386,79663636,79663853,79667496,79667724,79668074,79668537,	79651133,79652719,79653417,79654125,79655857,79657264,79657772,79658601,79660611,79660782,79660995,79661883,79662097,79662253,79663029,79663559,79663777,79664028,79667630,79667844,79668161,79669149,
MRPL12	17	+	79670386	79674556	79670386,79671273,79671662,79673935,79674153,	79670605,79671460,79671746,79674070,79674556,
RP13-1032I1.10	17	+	79670400	79687569	79670400,79671273,79671662,79673935,79674153,79681994,79682507,79682722,79683038,79683841,79684031,79684428,79684813,79686860,79687005,	79670605,79671460,79671746,79674070,79674243,79682102,79682622,79682771,79683080,79683885,79684102,79684521,79684891,79686917,79687569,
SLC25A10	17	+	79679370	79688042	79679370,79681982,79682507,79682722,79683038,79683841,79684031,79684428,79684813,79686860,79687005,	79679549,79682102,79682622,79682771,79683080,79683885,79684102,79684521,79684891,79686917,79688042,
GCGR	17	+	79762009	79771889	79762009,79766717,79767657,79768700,79768885,79769097,79769279,79769526,79769761,79770058,79770452,79770682,79770891,79771349,	79762125,79766954,79767760,79768808,79769007,79769204,79769436,79769686,79769822,79770128,79770541,79770821,79770933,79771889,
FAM195B	17	-	79780286	79791144	79780286,79781287,79782162,79782374,79791113,	79781187,79781389,79782281,79782430,79791144,
PPP1R27	17	-	79791367	79792909	79791367,79792378,79792639,	79791728,79792529,79792909,
P4HB	17	-	79801034	79818570	79801034,79803019,79803436,79803746,79804304,79804822,79805118,79813017,79813328,79817056,79818202,	79801968,79803106,79803618,79803867,79804505,79804948,79805223,79813155,79813462,79817263,79818570,
ARHGDIA	17	-	79825596	79829282	79825596,79827048,79827205,79827417,79827616,79829173,	79826951,79827112,79827282,79827501,79827833,79829282,
ALYREF	17	-	79845719	79849462	79845719,79846116,79846395,79847057,79848564,79849198,	79846021,79846294,79846459,79847205,79848696,79849462,
ANAPC11	17	+	79848665	79858131	79848665,79851427,79852342,79857795,	79848727,79851490,79852462,79858131,
PCYT2	17	-	79858840	79869340	79858840,79862941,79863257,79863545,79863975,79864339,79864635,79865429,79865648,79866443,79866751,79867389,79869142,	79862820,79863030,79863323,79863611,79864053,79864422,79864774,79865474,79865733,79866510,79866913,79867478,79869340,
NPB	17	+	79859984	79860781	79859984,79860495,	79860402,79860781,
SIRT7	17	-	79869814	79876070	79869814,79871649,79871962,79872169,79872479,79873315,79873486,79875490,79875705,79875914,	79870490,79871756,79872043,79872406,79872578,79873388,79873557,79875595,79875843,79876070,
MAFG	17	-	79876145	79885590	79876145,79881025,79885403,	79880933,79881090,79885590,
PYCR1	17	-	79890259	79894755	79890259,79892201,79892528,79892801,79893212,79893998,79894623,	79891252,79892365,79892621,79893023,79893392,79894069,79894755,
MYADML2	17	-	79897520	79905109	79897520,79900171,79904934,	79899719,79900249,79905109,
NOTUM	17	-	79910382	79919169	79910382,79912131,79913272,79914525,79914758,79915681,79916210,79916810,79917346,79917515,79918462,	79911143,79912179,79913420,79914626,79914950,79915784,79916269,79916871,79917442,79917568,79919169,
ASPSCR1	17	+	79935425	79975282	79935425,79937059,79941429,79943382,79952696,79953867,79954295,79966912,79967361,79968677,79969418,79970106,79974351,79974675,79974816,79975184,	79935624,79937115,79941544,79943483,79952754,79953941,79954722,79967067,79967443,79968744,79969481,79970159,79974403,79974745,79974989,79975282,
STRA13	17	-	79976578	79980794	79976578,79977168,79977516,79977733,79980701,	79977095,79977257,79977570,79977785,79980794,
LRRC45	17	+	79981177	79989027	79981177,79982153,79982568,79982875,79983254,79984774,79985261,79985549,79985886,79986109,79986272,79986488,79986968,79987418,79987940,79988194,79988484,	79981739,79982215,79982639,79983054,79983383,79984887,79985320,79985627,79986022,79986187,79986384,79986559,79987061,79987511,79988114,79988342,79989027,
RAC3	17	+	79989499	79992078	79989499,79990262,79990586,79990822,79991315,79991574,	79989672,79990334,79990704,79990885,79991475,79992078,
DCXR	17	-	79993733	79995608	79993733,79994066,79994259,79994419,79994596,79994734,79995325,79995506,	79993939,79994184,79994324,79994519,79994639,79994889,79995423,79995608,
RFNG	17	-	80005777	80009650	80005777,80006906,80007552,80007793,80008277,80008537,80009169,80009375,	80006683,80006992,80007718,80007882,80008431,80008640,80009218,80009650,
GPS1	17	+	80009784	80015346	80009784,80011149,80011743,80012373,80012773,80013037,80013615,80013876,80014161,80014345,80014504,80014715,80014928,	80009840,80011242,80011925,80012686,80012851,80013098,80013701,80013971,80014267,80014426,80014642,80014850,80015346,
DUS1L	17	-	80015381	80023515	80015381,80016216,80016656,80017823,80018576,80018740,80019084,80019493,80019776,80020736,80021343,80022001,80022698,80023488,	80016130,80016292,80016694,80017969,80018659,80018837,80019229,80019597,80019859,80020849,80021394,80022110,80022945,80023515,
FASN	17	-	80036213	80056208	80036213,80037232,80038015,80038245,80038567,80039039,80039476,80039884,80040198,80040402,80040789,80041077,80041392,80041647,80041850,80042109,80042388,80042674,80042910,80043113,80043357,80044129,80044925,80045200,80045560,80045829,80045991,80046265,80046636,80046844,80047125,80047507,80048250,80048757,80049097,80050330,80050572,80050772,80051094,80051473,80053195,80054194,80055996,	80037156,80037484,80038114,80038466,80038798,80039228,80039719,80040036,80040290,80040554,80040991,80041301,80041515,80041767,80042029,80042260,80042592,80042829,80043032,80043278,80043747,80044434,80045129,80045380,80045737,80045910,80046183,80046438,80046752,80047048,80047260,80047602,80048440,80048945,80049560,80050465,80050688,80050895,80051295,80051647,80053348,80054328,80056208,
CCDC57	17	-	80059345	80170689	80059345,80085567,80086368,80103726,80115623,80121075,80129576,80130513,80136349,80136902,80141649,80146094,80151631,80151857,80153138,80156189,80159413,80170660,	80059742,80085784,80086473,80103729,80115824,80121233,80129729,80130736,80136481,80137065,80141808,80146295,80151706,80152015,80153240,80156298,80159828,80170689,
SLC16A3	17	+	80186281	80197374	80186281,80193858,80194604,80195013,80196577,	80186421,80194107,80194748,80195769,80197374,
CSNK1D	17	-	80200542	80231607	80200542,80206750,80207306,80209254,80210309,80210891,80213304,80223561,80231181,	80202707,80206890,80207478,80209403,80210480,80211120,80213453,80223672,80231607,
AC132872.2	17	+	80214130	80216080	80214130,	80216080,
CD7	17	-	80272745	80275478	80272745,80274070,80274542,80275289,	80273307,80274285,80274857,80275478,
SECTM1	17	-	80278899	80291874	80278899,80280753,80282457,80285022,80291575,	80280246,80280887,80282766,80285168,80291874,
TEX19	17	+	80317122	80321652	80317122,80319755,	80317161,80321652,
UTS2R	17	+	80332105	80333462	80332105,	80333462,
OGFOD3	17	-	80347098	80376513	80347098,80356071,80361812,80363199,80364293,80367243,80369330,80373273,80376287,	80350410,80356195,80361966,80363256,80364358,80367286,80369406,80373503,80376513,
HEXDC	17	+	80376193	80400521	80376193,80377624,80382269,80386433,80391533,80393564,80394542,80395043,80397506,80398872,80399675,80400052,	80376616,80377759,80382379,80386521,80391698,80393748,80394614,80395239,80397589,80399142,80399765,80400521,
C17orf62	17	-	80400518	80408705	80400518,80402322,80403739,80404498,80405455,80407045,80408575,	80402000,80402467,80403836,80404572,80405497,80407168,80408705,
NARF	17	+	80416481	80448413	80416481,80417867,80422162,80426639,80430439,80436675,80438957,80441591,80442688,80443372,80445791,	80416706,80417948,80422306,80426772,80430574,80436794,80439087,80441655,80442826,80443530,80448413,
FOXK2	17	+	80477590	80562483	80477590,80521229,80525929,80529599,80540616,80541888,80543779,80544938,80559178,	80478183,80521424,80526077,80529746,80540810,80542064,80544076,80545148,80562483,
WDR45B	17	-	80572437	80606411	80572437,80574399,80575171,80576918,80579484,80583264,80585079,80588796,80601824,80606149,	80573901,80574521,80575273,80577004,80579675,80583359,80585167,80588898,80601899,80606411,
RAB40B	17	-	80612848	80656604	80612848,80616366,80617455,80618862,80622371,80656330,	80616010,80616589,80617533,80618923,80622432,80656604,
FN3KRP	17	+	80674558	80685893	80674558,80676781,80678147,80680679,80684355,80684708,	80674772,80676933,80678239,80680762,80684478,80685893,
FN3K	17	+	80693450	80709073	80693450,80696364,80698638,80699186,80706730,80708292,	80693653,80696516,80698730,80699269,80706853,80709073,
TBCD	17	+	80709939	80903798	80709939,80714040,80721840,80724142,80726295,80730327,80739464,80755632,80758739,80763750,80765483,80767583,80772715,80828099,80842020,80847543,80851422,80858526,80861280,80863811,80865636,80867160,80869633,80878431,80879376,80881527,80882814,80884275,80885061,80885780,80886988,80887237,80888397,80890533,80895146,80895924,80897242,80899274,80900324,	80710253,80714091,80721938,80724244,80726442,80730383,80739597,80755678,80758872,80763887,80765544,80767658,80772810,80828256,80842078,80847573,80851508,80858607,80861354,80863929,80865697,80867183,80869665,80878494,80879453,80881609,80882933,80884367,80885199,80885864,80887147,80887376,80888519,80890611,80895236,80896012,80897352,80899359,80903798,
ZNF750	17	-	80787310	80798454	80787310,80788894,80797802,	80788753,80790512,80798454,
B3GNTL1	17	-	80901666	81009686	80901666,80904754,80914570,80915056,80915234,80918932,80923526,80962990,80972329,80992910,81006346,81006544,81009612,	80901925,80904859,80914645,80915125,80915370,80919057,80923622,80963086,80972395,80992975,81006446,81006661,81009686,
METRNL	17	+	81037566	81052864	81037566,81042813,81050911,81052000,	81037861,81043199,81050971,81052864,
USP14	18	+	158607	214629	158607,163307,166786,178932,180235,192841,196636,197615,198046,199201,202879,203097,204563,209970,210385,211132,	158714,163453,166819,179037,180339,192900,196767,197696,198132,199316,202945,203190,204692,210031,210493,214629,
THOC1	18	-	214520	268027	214520,215428,216485,218885,223439,224083,224923,225088,225336,226800,246323,247848,252538,254272,259179,259681,260185,264025,265302,265456,267965,	214921,215504,216633,218969,223505,224179,224994,225139,225403,226901,246455,247957,252612,254355,259275,259730,260304,264092,265363,265530,268027,
COLEC12	18	-	316739	500722	316739,321661,331667,333006,334741,346294,348064,357399,480706,500507,	320064,321807,331777,333143,335230,347341,348163,357522,480757,500722,
CETN1	18	+	580356	582114	580356,	582114,
CLUL1	18	+	596997	650298	596997,617987,619212,624864,627096,633297,641326,644909,649897,	597129,618106,619361,625032,627529,633435,641541,645097,650298,
TYMS	18	+	657603	673578	657603,659640,662145,669071,670691,671379,672859,	657947,659714,662320,669173,670867,671451,673578,
ENOSF1	18	-	673858	712676	673858,675320,677344,677742,678695,683245,685920,688573,690548,691067,691203,693881,694247,697239,706469,712503,	674406,675402,677444,677872,678737,683380,686008,688608,690631,691106,691276,693908,694334,697355,706578,712676,
YES1	18	-	721587	812547	721587,732833,736807,739734,742917,743259,745707,745947,747919,751704,756556,812384,	724632,732965,736961,739811,743097,743415,745857,746051,748018,751804,756835,812547,
ADCYAP1	18	+	904943	909904	904943,905386,907659,908265,909446,	905061,905497,907791,908364,909904,
METTL4	18	-	2538451	2571485	2538451,2544193,2544651,2547353,2552693,2554667,2563795,2566819,2571147,	2539144,2544285,2544758,2547528,2552763,2555037,2563858,2567653,2571485,
NDC80	18	+	2571509	2616634	2571509,2572975,2574987,2577744,2577967,2578925,2585111,2587828,2589202,2590016,2595414,2599017,2601394,2606413,2608698,2610757,2616435,	2571682,2573085,2575065,2577868,2578140,2579028,2585201,2587922,2589309,2590161,2595620,2599170,2601484,2606506,2608829,2610860,2616634,
SMCHD1	18	+	2655736	2805015	2655736,2666155,2666868,2673279,2674013,2688391,2688625,2694524,2697029,2697828,2700536,2700732,2703689,2705691,2706361,2707560,2707804,2718155,2718312,2722516,2724896,2726449,2728454,2729272,2732262,2738394,2739429,2740700,2743758,2747519,2750040,2750347,2751275,2752485,2760649,2762102,2763634,2769691,2769986,2771530,2772247,2775731,2777803,2778166,2784447,2795946,2796404,2802525,	2656260,2666231,2667030,2673362,2674144,2688506,2688745,2694691,2697120,2698039,2700657,2700916,2703884,2705805,2706468,2707643,2707918,2718233,2718432,2722661,2724993,2726522,2728594,2729407,2732490,2738543,2739518,2740819,2743926,2747645,2750120,2750505,2751391,2752550,2760737,2762234,2763787,2769818,2770106,2771616,2772370,2775922,2777913,2778237,2784619,2796105,2796519,2805015,
EMILIN2	18	+	2847027	2915991	2847027,2847806,2884961,2890558,2906780,2908940,2909688,2913064,	2847320,2847929,2885137,2892484,2907083,2908973,2909817,2915991,
LPIN2	18	-	2916991	3011945	2916991,2920775,2921530,2922044,2923772,2924395,2925221,2926720,2927719,2928588,2929062,2931253,2934348,2937689,2939477,2940602,2951052,2954501,2960646,3011715,	2920435,2920879,2921645,2922197,2923859,2924544,2925366,2926803,2927809,2928658,2929156,2931441,2934448,2938035,2939601,2940710,2951354,2954597,2960847,3011945,
MYOM1	18	-	3066804	3220106	3066804,3071831,3075451,3075722,3079176,3083786,3083986,3085042,3086035,3089171,3089534,3090655,3094167,3100156,3100317,3102471,3112295,3116328,3119866,3126698,3129229,3131372,3134647,3135544,3141936,3149142,3151691,3154944,3164275,3168814,3173935,3174117,3176039,3187477,3188745,3193815,3214931,3219800,	3067553,3071887,3075474,3075759,3079340,3083892,3084025,3085130,3086149,3089239,3089594,3090800,3094304,3100201,3100424,3102628,3112410,3116513,3119993,3126895,3129517,3131494,3134822,3135728,3142061,3149199,3151891,3155086,3164437,3168979,3173998,3174206,3176132,3187635,3189085,3193956,3215249,3220106,
MYL12A	18	+	3247478	3256225	3247478,3253230,3253886,3255743,	3247585,3253426,3254048,3256225,
MYL12B	18	+	3261906	3278282	3261906,3272881,3277250,3277762,	3262235,3273080,3277412,3278282,
TGIF1	18	+	3449701	3458409	3449701,3456351,3457362,	3450503,3456578,3458409,
DLGAP1	18	-	3496029	4455335	3496029,3502490,3508567,3534191,3567487,3581872,3729134,3742334,3814058,3879111,4005115,4151179,4455005,	3499392,3502643,3508659,3534613,3567579,3582246,3729375,3742512,3814273,3880140,4005201,4151287,4455335,
C18orf42	18	-	5145367	5197224	5145367,5197036,	5145754,5197224,
ZBTB14	18	-	5289017	5296039	5289017,5293242,5293970,5295811,	5292203,5293326,5294000,5296039,
EPB41L3	18	-	5392382	5544241	5392382,5394675,5395065,5395607,5396199,5397056,5398019,5406775,5407699,5410564,5415816,5419709,5423376,5424260,5428311,5433467,5433901,5438033,5443836,5445138,5478239,5488999,5543911,	5393477,5394792,5395146,5395706,5396331,5397425,5398142,5406967,5407735,5410618,5416377,5419876,5423552,5424358,5428464,5433555,5434120,5438109,5443879,5445243,5478437,5489193,5544241,
TMEM200C	18	-	5882070	5895954	5882070,5895028,5895853,	5892156,5895479,5895954,
L3MBTL4	18	-	5954704	6367682	5954704,5960092,5969391,6046726,6080879,6093353,6138192,6171826,6213147,6215748,6237962,6239716,6241356,6243292,6244482,6263945,6301901,6311552,6311996,6367612,	5956386,5960155,5969561,6046753,6080950,6093527,6138295,6171941,6213258,6215834,6238039,6239871,6241448,6243428,6244587,6264037,6301956,6311655,6312055,6367682,
ARHGAP28	18	+	6834473	6915715	6834473,6837195,6851032,6859806,6868148,6870588,6873407,6873682,6876129,6882135,6887155,6889886,6890428,6894833,6896500,6908958,6912058,	6834538,6837413,6851125,6859896,6868233,6870731,6873573,6873774,6876207,6882298,6887238,6890084,6890542,6894890,6896625,6909023,6915715,
LAMA1	18	-	6941742	7117813	6941742,6943178,6947161,6948401,6949099,6950780,6955351,6956634,6958475,6959339,6961584,6961943,6964660,6965286,6966145,6971855,6973055,6974901,6975935,6977725,6978194,6980519,6982495,6983097,6985235,6985525,6986135,6992559,6993639,6995355,6997740,6999443,6999909,7002262,7007137,7008486,7009237,7010198,7011298,7011993,7013813,7015720,7016489,7017276,7023162,7024378,7025977,7032064,7032982,7034477,7035985,7037576,7038808,7040074,7042143,7043225,7044720,7046276,7049076,7050692,7079973,7080285,7117658,	6942238,6943401,6947295,6948555,6949258,6950970,6955464,6956764,6958661,6959491,6961758,6962058,6964802,6965431,6966296,6971980,6973206,6975035,6976079,6977880,6978377,6980636,6982589,6983233,6985399,6985642,6986346,6992719,6993751,6995445,6997883,6999637,6999996,7002384,7007275,7008607,7009365,7010384,7011478,7012137,7014050,7015857,7016670,7017383,7023374,7024465,7026105,7032175,7033094,7034689,7036087,7037750,7038949,7040235,7042249,7043404,7044838,7046366,7049256,7050935,7080086,7080456,7117813,
LRRC30	18	+	7231122	7232045	7231122,	7232045,
PTPRM	18	+	7566779	8406859	7566779,7774146,7888103,7906502,7926565,7949178,7955118,8069683,8076452,8085668,8088746,8113483,8114788,8143644,8244055,8247842,8253224,8296365,8314778,8319175,8343420,8370887,8376043,8376459,8378262,8379164,8380293,8384558,8387069,8394473,8406106,	7567889,7774269,7888375,7906581,7926681,7949353,7955412,8069992,8076562,8085870,8088849,8113757,8114825,8143777,8244207,8247917,8253412,8296453,8314855,8319212,8343518,8371004,8376198,8376595,8378412,8379338,8380425,8384684,8387233,8394609,8406859,
AP001094.1	18	-	8336436	8337038	8336436,8336458,8336979,	8336454,8336555,8337038,
RAB12	18	+	8609442	8639379	8609442,8624935,8633186,8635530,8636250,8638146,	8609951,8624996,8633325,8635620,8636355,8639379,
MTCL1	18	+	8717368	8832776	8717368,8717901,8718421,8720335,8777830,8783527,8785933,8792995,8796229,8798094,8806890,8812976,8818960,8821464,8824696,8828905,8831604,	8717424,8717960,8718646,8720494,8777890,8784841,8786089,8793118,8796460,8798289,8807058,8813231,8819257,8821496,8826230,8828962,8832776,
NDUFV2	18	+	9102627	9134343	9102627,9117835,9119323,9119471,9122510,9124871,9126828,9134183,	9102795,9117901,9119386,9119588,9122679,9124981,9126905,9134343,
ANKRD12	18	+	9136774	9285983	9136774,9182379,9195548,9204473,9208654,9211581,9216755,9221849,9254208,9263787,9275521,9279546,9280938,	9136963,9182517,9195696,9204542,9208801,9211782,9216898,9221997,9258929,9263886,9275665,9279642,9285983,
TWSG1	18	+	9334764	9402418	9334764,9337190,9359969,9396277,9399343,	9334918,9337350,9360069,9396544,9402418,
RALBP1	18	+	9475006	9538112	9475006,9512988,9516842,9522157,9524591,9525717,9530831,9533332,9533700,9535668,	9475174,9513287,9517301,9522507,9524753,9525849,9530939,9533454,9533824,9538112,
PPP4R1	18	-	9546788	9614556	9546788,9549194,9550049,9550275,9553319,9557218,9559416,9561977,9563375,9570154,9577061,9583114,9584512,9584718,9588086,9588708,9593765,9595015,9614223,9614475,	9547950,9549336,9550184,9550396,9553420,9557380,9559602,9562073,9563548,9570681,9577189,9583273,9584578,9584826,9588233,9588851,9593872,9595151,9614268,9614556,
RAB31	18	+	9708161	9862548	9708161,9775274,9792150,9814016,9815112,9845578,9859224,	9708441,9775354,9792232,9814088,9815219,9845688,9862548,
TXNDC2	18	+	9885934	9889272	9885934,9886585,	9886077,9889272,
VAPA	18	+	9913998	9960018	9913998,9931806,9936106,9936982,9950391,9954049,	9914332,9931959,9936210,9937063,9950565,9960018,
APCDD1	18	+	10454624	10489945	10454624,10468465,10471526,10485458,10487586,	10455036,10468649,10472058,10485780,10489945,
NAPG	18	+	10526030	10552757	10526030,10530766,10532707,10533532,10534462,10539758,10539984,10540325,10546322,10548295,10548963,10550073,	10526155,10530834,10532792,10533550,10534493,10539868,10540051,10540396,10546401,10548375,10549093,10552757,
PIEZO2	18	-	10671523	11148587	10671523,10672686,10675205,10677743,10680195,10681657,10682100,10689652,10691222,10696071,10696389,10697745,10698922,10701986,10704391,10705333,10714761,10715647,10718197,10731404,10736601,10741028,10742491,10744139,10748468,10750088,10752633,10757966,10759479,10759702,10760908,10762497,10762919,10770145,10773409,10784781,10787033,10789076,10791198,10794769,10797371,10800334,10801387,10803872,10807109,10855350,10856998,10871250,10911183,10979532,11066125,11148523,	10671776,10672870,10675285,10677872,10680368,10681750,10682289,10689800,10691381,10696286,10696537,10697878,10699175,10702169,10704650,10705744,10714928,10715814,10718257,10731519,10736708,10741100,10742613,10744229,10748628,10750185,10752877,10758132,10759581,10759907,10761109,10762623,10763096,10770306,10773627,10784955,10787182,10789363,10791322,10795000,10797520,10800473,10801426,10803992,10807272,10855564,10857209,10871413,10911226,10979658,11066221,11148587,
GNAL	18	+	11751470	11881134	11751470,11752330,11752851,11753626,11753824,11824916,11862393,11864531,11867166,11868541,11872266,11876619,11880987,	11751507,11752577,11752924,11753681,11753944,11825014,11862448,11864605,11867225,11868662,11872397,11876687,11881134,
CHMP1B	18	+	11851394	11854448	11851394,	11854448,
MPPE1	18	-	11882620	11909222	11882620,11885674,11886497,11886711,11886915,11888667,11889385,11893466,11896982,11906201,11908199,	11884626,11885815,11886620,11886777,11887024,11888742,11889489,11893575,11897355,11906308,11909222,
